username, created_at, lng, lat, text
__tapwater, Wed Apr 22 14:37:09 +0000 2020, -81.803052, 41.480418, @krartkat @lonely__goblin @Travis_Thott @KelseaMcGraw 
videocrime, Wed Apr 22 14:37:09 +0000 2020, -90.247824, 38.653771, @leslieleeiii Hey Les, first time long time, anyways this is more of a comment then a question 
iKyraBadd, Wed Apr 22 14:37:09 +0000 2020, -97.552161, 35.482844, 😭 
teroterotero, Wed Apr 22 14:37:09 +0000 2020, -73.493922, 41.293537, Breakfast in America 
Gypsy_CaravanTO, Wed Apr 22 14:37:10 +0000 2020, -79.428480, 43.681400, We are technically shut down during this difficult time..NOW...Obviously if you see this you are already followin… https://t.co/u5jWawIJ9b 
gomezdad, Wed Apr 22 14:37:10 +0000 2020, -121.833730, 39.747037, @BibleBeltDarlin @atensnut 🤣🤣 
sjybarra1, Wed Apr 22 14:37:10 +0000 2020, -121.469664, 38.561722, Yes 
CarpenterElease, Wed Apr 22 14:37:10 +0000 2020, -82.665911, 28.300058, @tfwsissa https://t.co/GJdGnWBGE6 
WoovieStudios, Wed Apr 22 14:37:10 +0000 2020, -79.015304, 35.278191, I’m going to lose it if we don’t draft CY 
Mike38362955, Wed Apr 22 14:37:10 +0000 2020, -89.876449, 32.571032, @Breaking911 Horse 💩 
MichaelPRush1, Wed Apr 22 14:37:10 +0000 2020, -74.632836, 40.501577, @jessica_smetana Wide receiver west coast or a defensive tackle or end 
Vivalabombshell, Wed Apr 22 14:37:10 +0000 2020, -95.446486, 29.838495, https://t.co/3XOk2g0jwm 
B_RiCH305, Wed Apr 22 14:37:10 +0000 2020, -96.761753, 32.819858, This Bill Clinton thing is hilarious https://t.co/IqKpF88ETD 
Jacksons_Legacy, Wed Apr 22 14:37:10 +0000 2020, -77.604684, 41.117936, Now, Everything iDo I Do It All For You 😍 https://t.co/Bar3APSOnC 
ALCollection, Wed Apr 22 14:37:11 +0000 2020, -96.761753, 32.819858, Thank you Lord for this day 
Ohwaawaa, Wed Apr 22 14:37:11 +0000 2020, -73.948775, 40.655138, @joinez No Lizzo slander shall prosper 
MMLunlimited, Wed Apr 22 14:37:11 +0000 2020, -73.968542, 40.780709, @WEKetchum true. prior to my pro, i did use an ipad air 2 w/keyboard and i was pretty much just fine. what gets ann… https://t.co/TFQE6m7L8Q 
kennn3x, Wed Apr 22 14:37:11 +0000 2020, -93.283548, 32.608223, Best one I’ve seen! This is the energy I want in a relationship ❤️🤞🏽 https://t.co/qkB9Uz7rI2 
Sonia6349, Wed Apr 22 14:37:11 +0000 2020, -73.831187, 40.670879, @Amber_ismyname @lyzl Yep. You are focused on other things lol. 
kawaii_vegan, Wed Apr 22 14:37:11 +0000 2020, -87.732013, 41.833585, @notlikethesoup u know u can....mute that 
PokeFanTrevor, Wed Apr 22 14:37:11 +0000 2020, -77.531100, 38.767585, Anakin Skywalker with frosted tips is one of the most terrible things I have ever thought of 😖🤮 
WaylonByrge, Wed Apr 22 14:37:11 +0000 2020, -83.984194, 35.815867, @RyanBrowneArt This is amazing!!! 
zainss, Wed Apr 22 14:37:11 +0000 2020, -86.791549, 36.200008, Have a wonderful day. ☀️ https://t.co/LRvY9t0ndV 
SirLogan_21, Wed Apr 22 14:37:11 +0000 2020, -80.846785, 35.209059, @FigGetIt Cuh trippin fasho 
eileen9879, Wed Apr 22 14:37:11 +0000 2020, -76.704368, 39.385739, They’re not planes! 
RonaldCRice, Wed Apr 22 14:37:11 +0000 2020, -77.017853, 39.008349, You are so right, frat #HisRoyalBadness 
EgoSentric, Wed Apr 22 14:37:12 +0000 2020, -77.014398, 38.898603, The Clout Chasing of It All 
Alysson4CK, Wed Apr 22 14:37:12 +0000 2020, -81.958201, 42.163991, My beautiful, kind, smart &amp; generous Grandma Marjorie Sunnen Storey 95 yrs ago today in Mexico, Missouri. Gramsy mo… https://t.co/FgW7WX0FBe 
9hunnit_, Wed Apr 22 14:37:12 +0000 2020, -75.770041, 42.746617, I hate accidentally liking somebody lol a week later be like nah I was just playin 
LukasThoms, Wed Apr 22 14:37:12 +0000 2020, -73.948775, 40.655138, tfw you win a bet against @TD_Fields https://t.co/6jfFDzvDnT 
Siobhancali, Wed Apr 22 14:37:12 +0000 2020, -117.618621, 33.438735, @tevincampbelll 😢🙏🏼🙏🏼🙏🏼🙏🏼💖💖💖 
sustopramen_, Wed Apr 22 14:37:12 +0000 2020, -73.948775, 40.655138, Lmao tbh 
Tyler_Gee8, Wed Apr 22 14:37:12 +0000 2020, -92.180126, 34.871863, @JaidTaylorLive Thanks Coach!!! 
Merma_bixies, Wed Apr 22 14:37:12 +0000 2020, -75.284607, 39.924954, @AuthorKimberley Can't name a single thing 
ArticleConsign, Wed Apr 22 14:37:12 +0000 2020, -121.450000, 38.570000, We’re working hard to provide you the chance to elevate your style in a way that honors Earth Day! Visit our site… https://t.co/BjIsvrsosO 
szwest1, Wed Apr 22 14:37:12 +0000 2020, -118.411907, 34.020789, I can’t stop touching my face!!! 😩😳 
WalterTater, Wed Apr 22 14:37:12 +0000 2020, -78.487448, 38.040036, Genuinely searched for a book on carriages this morning. Leaning in. 
deadofnight_art, Wed Apr 22 14:37:12 +0000 2020, -79.874848, 40.445386, Trying to think of the best @phish jam to listen to on my morning run today... 🤔 #phish #phishjam #phishhead #earthdayjams 
_AHuff, Wed Apr 22 14:37:12 +0000 2020, -82.997424, 40.202396, an opulent kitchen is the true mark of celebrity money well spent &amp; after being let down by the soul crushingly ped… https://t.co/Wr6COmTu4J 
yourCheriseAmor, Wed Apr 22 14:37:12 +0000 2020, -118.411907, 34.020789, whats yall definition of “hit” 
SiobhanForCymru, Wed Apr 22 14:37:13 +0000 2020, -122.935530, 45.530779, @AndaluciaSteve Never heard that one 
MajesticYoungin, Wed Apr 22 14:37:13 +0000 2020, -81.244190, 33.985452, Probably broke bra tail bone 
ElaineShannonDC, Wed Apr 22 14:37:13 +0000 2020, -77.074522, 38.992606, So true. Experts in the ranks surely looked over the horizon and yearned for blanket testing. But leaders must welc… https://t.co/QFcGEus9Da 
ajhinks, Wed Apr 22 14:37:13 +0000 2020, -82.755341, 27.992711, @msmary128 @ImaLuckyGirl246 That person wasn’t a real friend. 
evanschnittman, Wed Apr 22 14:37:13 +0000 2020, -96.761753, 32.819858, Arbeit Macht Frei is the underlying message here... 
ParraV, Wed Apr 22 14:37:13 +0000 2020, -73.948775, 40.655138, @paulclammer Beirut is so violent 
andreakpitts, Wed Apr 22 14:37:13 +0000 2020, -79.021309, 33.586553, Happy Earth Day! https://t.co/1nroMusuXe 
lrhesq, Wed Apr 22 14:37:13 +0000 2020, -76.620482, 39.284713, @Spicxer @antonchigurh56 @TJSmithBmore When the Rona leaves, you’ve got to take route 1 up. Highly underrated city.… https://t.co/SmjzSenzv2 
garrettholmes, Wed Apr 22 14:37:13 +0000 2020, -123.109800, 49.142180, #earthday #natureinmyneighbourhood cityofrichmondbc @ Towers Baptist Church https://t.co/UCrUgS3s1B 
groffdogg, Wed Apr 22 14:37:13 +0000 2020, -97.134208, 32.844933, @youngguidance morning bruh 💪🏾 
Roblopley, Wed Apr 22 14:37:13 +0000 2020, -109.436510, 26.606662, Buenos días desde el caluroso estado de Sonora 
Adrianneee_13, Wed Apr 22 14:37:13 +0000 2020, -85.722346, 38.195555, @_OhhMi Happy Deltaversary sis!! ❤️ 
arqturus, Wed Apr 22 14:37:13 +0000 2020, -100.168717, 25.778679, @ayfredito Estaba leyendo que Domino’s hace uso de drones para entregas desde 2016 en Nueva Zelanda y que en marzo… https://t.co/4Vbw18gG6G 
davidlcurry1, Wed Apr 22 14:37:14 +0000 2020, -122.696391, 45.411248, @AdamKad35657105 @PeteButtigieg You cool Adam🙏🏽😎 https://t.co/OfjZD5ASO4 
CaseyLM64, Wed Apr 22 14:37:14 +0000 2020, -88.161321, 41.748496, @KLTS_SportsTalk @_TJWatt This is why. https://t.co/oJHGIiiew3 
JohnCoc25038025, Wed Apr 22 14:37:14 +0000 2020, -77.604684, 41.117936, Sadly, I think you’re right. 
annaxojones, Wed Apr 22 14:37:14 +0000 2020, -83.804475, 27.698682, @xoxolfisher Amen girl, thank you 💛 
ockyobab, Wed Apr 22 14:37:14 +0000 2020, -81.283305, 28.580050, Kalau udah dapet moment yang tepat untuk ambil keputusan, terkadang saat itu hati merasa di hianati sama waktu 🦄- @… https://t.co/cqrbl6loV2 
DavidsPumpkin64, Wed Apr 22 14:37:14 +0000 2020, -79.861034, 35.170499, @MeghanGadd1 @chad_hunsucker @NC_Governor @RoyCooperNC Well the DemocRATS have made it political. 
moorman_neph, Wed Apr 22 14:37:14 +0000 2020, -75.800141, 45.248791, @RoyKhalife89 I am one with the fatigue. We have made peace. 
SalineHS, Wed Apr 22 14:37:14 +0000 2020, -86.270540, 45.001180, We are so appreciative for the hard work and expertise of our Administrative Assistants! 😊 #sascompass #shslearn… https://t.co/SSxo5AsTPs 
__TyBeezy, Wed Apr 22 14:37:14 +0000 2020, -75.016369, 39.912821, @_KevFields That’s my point why tf are you comparing relationships to Kobe and KD you always on some sentimental shit 😂 it’s 10 am 
abdsyedlol, Wed Apr 22 14:37:14 +0000 2020, -77.014398, 38.898603, @CiaoSamin ‘s new podcast is absolute joy in these dark times https://t.co/OO41sqHfct 
shaunnalalonde, Wed Apr 22 14:37:15 +0000 2020, -79.880340, 44.752589, Some of you drink to reach some sort of destination.... that doesn’t exist 
Lavelle1215, Wed Apr 22 14:37:15 +0000 2020, -79.857363, 36.090397, Ahhh Elena you done fucked up now 
TerryMeggins, Wed Apr 22 14:37:15 +0000 2020, -100.076888, 31.168893, @JohnGrahamDick1 Thank you Jesus! Soon, G.E.S.A.R.A. and N.E.S.A.R.A.? Will I be able to build a home on my land? T… https://t.co/Wq3Tcy4cJB 
writtenbyalivee, Wed Apr 22 14:37:15 +0000 2020, -91.401008, 30.937336, Ooh season 2 of Dead To Me!! 
